Zaman_s,Konum_km,Hiz_kmh,Ivme_ms2,Jerk_ms3,Kutle_Ton,Kuvvet_kN,Guc_kW,Disk_Sicaklik_C,Stres_MPa
761.800000000036,11.15962,90,0,0,756.4,18.209318,455.23295,145.901681582944,525.271118469349
762.000000000036,11.16462,90,0,0,756.4,18.209318,455.23295,145.900271063326,525.271118469349
762.200000000036,11.16962,90,0,0,756.4,18.209318,455.23295,145.898860560163,525.271118469349
762.400000000036,11.17462,90,0,0,756.4,18.209318,455.23295,145.897450073457,525.271118469349
762.600000000036,11.17962,90,0,0,756.4,18.209318,455.23295,145.896039603206,525.271118469349
762.800000000036,11.18462,90,0,0,756.4,18.209318,455.23295,145.894629149411,525.271118469349
763.000000000036,11.18962,90,0,0,756.4,18.209318,455.23295,145.893218712071,525.271118469349
763.200000000037,11.19462,90,0,0,756.4,18.209318,455.23295,145.891808291186,525.271118469349
763.400000000037,11.19962,90,0,0,756.4,18.209318,455.23295,145.890397886755,525.271118469349
763.600000000037,11.20462,90,0,0,756.4,18.209318,455.23295,145.88898749878,525.271118469349
763.800000000037,11.20962,90,0,0,756.4,18.209318,455.23295,145.887577127259,525.271118469349
764.000000000037,11.21462,90,0,0,756.4,18.209318,455.23295,145.886166772193,525.271118469349
764.200000000037,11.21962,90,0,0,756.4,18.209318,455.23295,145.88475643358,525.271118469349
764.400000000037,11.22462,90,0,0,756.4,18.209318,455.23295,145.883346111422,525.271118469349
764.600000000037,11.22962,90,0,0,756.4,18.209318,455.23295,145.881935805717,525.271118469349
764.800000000037,11.23462,90,0,0,756.4,18.209318,455.23295,145.880525516466,525.271118469349
765.000000000037,11.23962,90,0,0,756.4,18.209318,455.23295,145.879115243669,525.271118469349
765.200000000037,11.24462,90,0,0,756.4,18.209318,455.23295,145.877704987324,525.271118469349
765.400000000037,11.24962,90,0,0,756.4,18.209318,455.23295,145.876294747433,525.271118469349
765.600000000037,11.25462,90,0,0,756.4,18.209318,455.23295,145.874884523994,525.271118469349
765.800000000037,11.25962,90,0,0,756.4,18.209318,455.23295,145.873474317008,525.271118469349
766.000000000037,11.26462,90,0,0,756.4,18.209318,455.23295,145.872064126474,525.271118469349
766.200000000037,11.269584,89.352,-0.9,-4.5,756.4,-662.599017364,-16445.7076109745,146.281803894991,525.271118469349
766.400000000037,11.274512,88.704,-0.9,0,756.4,-662.647003456,-16327.6221651558,146.688594048557,525.271118469349
766.600000000037,11.279404,88.056,-0.9,0,756.4,-662.694640276,-16209.510901151,147.092434024769,525.271118469349
766.800000000037,11.28426,87.408,-0.9,0,756.4,-662.741927824,-16091.3740075667,147.493323265412,525.271118469349
767.000000000037,11.28908,86.76,-0.9,0,756.4,-662.7888661,-15973.21167301,147.891261216463,525.271118469349
767.200000000037,11.293864,86.112,-0.9,0,756.4,-662.835455104,-15855.0240860877,148.286247328088,525.271118469349
767.400000000037,11.298612,85.464,-0.9,0,756.4,-662.881694836,-15736.8114354066,148.678281054645,525.271118469349
767.600000000038,11.303324,84.816,-0.9,0,756.4,-662.927585296,-15618.5739095738,149.067361854681,525.271118469349
767.800000000038,11.308,84.168,-0.9,0,756.4,-662.973126484,-15500.3116971959,149.453489190931,525.271118469349
768.000000000038,11.31264,83.52,-0.9,0,756.4,-663.0183184,-15382.02498688,149.836662530323,525.271118469349
768.200000000038,11.317244,82.872,-0.9,0,756.4,-663.063161044,-15263.7139672329,150.216881343971,525.271118469349
768.400000000038,11.321812,82.224,-0.9,0,756.4,-663.107654416,-15145.3788268614,150.594145107182,525.271118469349
768.600000000038,11.326344,81.576,-0.9,0,756.4,-663.151798516,-15027.0197543726,150.968453299448,525.271118469349
768.800000000038,11.33084,80.928,-0.9,0,756.4,-663.195593344,-14908.6369383731,151.339805404453,525.271118469349
769.000000000038,11.3353,80.28,-0.9,0,756.4,-663.2390389,-14790.23056747,151.708200910068,525.271118469349
769.200000000038,11.339724,79.632,-0.9,0,756.4,-663.282135184,-14671.8008302701,152.073639308354,525.271118469349
769.400000000038,11.344112,78.984,-0.9,0,756.4,-663.324882196,-14553.3479153802,152.436120095558,525.271118469349
769.600000000038,11.348464,78.336,-0.9,0,756.4,-663.367279936,-14434.8720114074,152.795642772119,525.271118469349
769.800000000038,11.35278,77.688,-0.9,0,756.4,-663.409328404,-14316.3733069583,153.15220684266,525.271118469349
770.000000000038,11.35706,77.04,-0.9,0,756.4,-663.4510276,-14197.85199064,153.505811815994,525.271118469349
770.200000000038,11.361304,76.392,-0.9,0,756.4,-663.492377524,-14079.3082510593,153.856457205122,525.271118469349
770.400000000038,11.365512,75.744,-0.9,0,756.4,-663.533378176,-13960.742276823,154.204142527232,525.271118469349
770.600000000038,11.369684,75.096,-0.9,0,756.4,-663.574029556,-13842.1542565382,154.5488673037,525.271118469349
770.800000000038,11.37382,74.448,-0.9,0,756.4,-663.614331664,-13723.5443788115,154.890631060087,525.271118469349
771.000000000038,11.37792,73.8,-0.9,0,756.4,-663.6542845,-13604.91283225,155.229433326144,525.271118469349
771.200000000038,11.381984,73.152,-0.9,0,756.4,-663.693888064,-13486.2598054605,155.565273635808,525.271118469349
771.400000000038,11.386012,72.504,-0.9,0,756.4,-663.733142356,-13367.5854870498,155.898151527202,525.271118469349
771.600000000038,11.390004,71.856,-0.9,0,756.4,-663.772047376,-13248.890065625,156.228066542636,525.271118469349
771.800000000038,11.39396,71.208,-0.9,0,756.4,-663.810603124,-13130.1737297927,156.555018228607,525.271118469349
772.000000000039,11.39788,70.56,-0.9,0,756.4,-663.8488096,-13011.43666816,156.879006135798,525.271118469349
772.200000000039,11.401764,69.912,-0.9,0,756.4,-663.886666804,-12892.6790693337,157.200029819077,525.271118469349
772.400000000039,11.405612,69.264,-0.9,0,756.4,-663.924174736,-12773.9011219206,157.518088837501,525.271118469349
772.600000000039,11.409424,68.616,-0.9,0,756.4,-663.961333396,-12655.1030145278,157.833182754311,525.271118469349
772.800000000039,11.4132,67.968,-0.9,0,756.4,-663.998142784,-12536.2849357619,158.145311136932,525.271118469349
773.000000000039,11.41694,67.32,-0.9,0,756.4,-664.0346029,-12417.44707423,158.454473556978,525.271118469349
773.200000000039,11.420644,66.672,-0.9,0,756.4,-664.070713744,-12298.5896185389,158.760669590246,525.271118469349
773.400000000039,11.424312,66.024,-0.9,0,756.4,-664.106475316,-12179.7127572954,159.06389881672,525.271118469349
773.600000000039,11.427944,65.376,-0.9,0,756.4,-664.141887616,-12060.8166791066,159.364160820567,525.271118469349
773.800000000039,11.43154,64.728,-0.9,0,756.4,-664.176950644,-11941.9015725791,159.661455190142,525.271118469349
774.000000000039,11.4351,64.08,-0.9,0,756.4,-664.2116644,-11822.96762632,159.955781517982,525.271118469349
774.200000000039,11.438624,63.432,-0.9,0,756.4,-664.246028884,-11704.0150289361,160.24713940081,525.271118469349
774.400000000039,11.442112,62.784,-0.9,0,756.4,-664.280044096,-11585.0439690342,160.535528439534,525.271118469349
774.600000000039,11.445564,62.136,-0.9,0,756.4,-664.313710036,-11466.0546352214,160.820948239246,525.271118469349
774.800000000039,11.44898,61.488,-0.9,0,756.4,-664.347026704,-11347.0472161043,161.103398409223,525.271118469349
775.000000000039,11.45236,60.84,-0.9,0,756.4,-664.3799941,-11228.02190029,161.382878562924,525.271118469349
775.200000000039,11.455704,60.192,-0.9,0,756.4,-664.412612224,-11108.9788763853,161.659388317996,525.271118469349
775.400000000039,11.459012,59.544,-0.9,0,756.4,-664.444881076,-10989.9183329971,161.932927296265,525.271118469349
775.600000000039,11.462284,58.8960000000001,-0.9,0,756.4,-664.476800656,-10870.8404587322,162.203495123746,525.271118469349
775.800000000039,11.46552,58.2480000000001,-0.9,0,756.4,-664.508370964,-10751.7454421975,162.471091430633,525.271118469349
776.000000000039,11.46872,57.6000000000001,-0.9,0,756.4,-664.539592,-10632.633472,162.735715851307,525.271118469349
776.200000000039,11.471884,56.9520000000001,-0.9,0,756.4,-664.570463764,-10513.5047367465,162.997368024332,525.271118469349
776.40000000004,11.475012,56.3040000000001,-0.9,0,756.4,-664.600986256,-10394.3594250438,163.256047592452,525.271118469349
776.60000000004,11.478104,55.6560000000001,-0.9,0,756.4,-664.631159476,-10275.197725499,163.511754202599,525.271118469349
776.80000000004,11.48116,55.0080000000001,-0.9,0,756.4,-664.660983424,-10156.0198267187,163.764487505885,525.271118469349
777.00000000004,11.48418,54.3600000000001,-0.9,0,756.4,-664.6904581,-10036.82591731,164.014247157606,525.271118469349
777.20000000004,11.487164,53.7120000000001,-0.9,0,756.4,-664.719583504,-9917.61618587969,164.26103281724,525.271118469349
777.40000000004,11.490112,53.0640000000001,-0.9,0,756.4,-664.748359636,-9798.39082103465,164.504844148448,525.271118469349
777.60000000004,11.493024,52.4160000000001,-0.9,0,756.4,-664.776786496,-9679.15001138177,164.745680819075,525.271118469349
777.80000000004,11.4959,51.7680000000001,-0.9,0,756.4,-664.804864084,-9559.89394552793,164.983542501147,525.271118469349
778.00000000004,11.49874,51.1200000000001,-0.9,0,756.4,-664.8325924,-9440.62281208001,165.218428870873,525.271118469349
778.20000000004,11.501544,50.4720000000001,-0.9,0,756.4,-664.859971444,-9321.33679964489,165.450339608644,525.271118469349
778.40000000004,11.504312,49.8240000000001,-0.9,0,756.4,-664.887001216,-9202.03609682945,165.679274399032,525.271118469349
778.60000000004,11.507044,49.1760000000001,-0.9,0,756.4,-664.913681716,-9082.72089224057,165.905232930794,525.271118469349
778.80000000004,11.50974,48.5280000000001,-0.9,0,756.4,-664.940012944,-8963.39137448513,166.128214896867,525.271118469349
779.00000000004,11.5124,47.8800000000001,-0.9,0,756.4,-664.9659949,-8844.04773217001,166.348219994369,525.271118469349
779.20000000004,11.515024,47.2320000000001,-0.9,0,756.4,-664.991627584,-8724.69015390209,166.565247924601,525.271118469349
779.40000000004,11.517612,46.5840000000001,-0.9,0,756.4,-665.016910996,-8605.31882828825,166.779298393046,525.271118469349
779.60000000004,11.520164,45.9360000000001,-0.9,0,756.4,-665.041845136,-8485.93394393537,166.990371109367,525.271118469349
779.80000000004,11.52268,45.2880000000001,-0.9,0,756.4,-665.066430004,-8366.53568945033,167.19846578741,525.271118469349
780.00000000004,11.52516,44.6400000000001,-0.9,0,756.4,-665.0906656,-8247.12425344001,167.403582145201,525.271118469349
780.20000000004,11.527604,43.9920000000001,-0.9,0,756.4,-665.114551924,-8127.69982451129,167.605719904949,525.271118469349
780.40000000004,11.530012,43.3440000000001,-0.9,0,756.4,-665.138088976,-8008.26259127105,167.804878793042,525.271118469349
780.60000000004,11.532384,42.6960000000001,-0.9,0,756.4,-665.161276756,-7888.81274232617,168.00105854005,525.271118469349
780.800000000041,11.53472,42.0480000000001,-0.9,0,756.4,-665.184115264,-7769.35046628353,168.194258880724,525.271118469349
781.000000000041,11.53702,41.4000000000001,-0.9,0,756.4,-665.2066045,-7649.87595175001,168.384479553996,525.271118469349
781.200000000041,11.539284,40.7520000000001,-0.9,0,756.4,-665.228744464,-7530.38938733249,168.571720302978,525.271118469349
781.400000000041,11.541512,40.1040000000001,-0.9,0,756.4,-665.250535156,-7410.89096163785,168.755980874963,525.271118469349
