Konum_km,Hiz_kmh,Kutle_Ton,Cer_Kuvveti_kN,Direnc_kN,Egim_Yuzde
1.55635,34.5600000000001,585.775,0,11.9896479,0
1.560925,32.9400000000001,585.775,0,11.944169775,0
1.565275,31.3200000000001,585.775,0,11.9008746,0
1.5694,29.7000000000001,585.775,0,11.859762375,0
1.5733,28.0800000000001,585.775,0,11.8208331,0
1.576975,26.4600000000001,585.775,0,11.784086775,0
1.580425,24.8400000000001,585.775,0,11.7495234,0
1.58365,23.2200000000001,585.775,0,11.717142975,0
1.58665,21.6000000000001,585.775,0,11.6869455,0
1.589425,19.9800000000001,585.775,0,11.658930975,0
1.591975,18.3600000000001,585.775,0,11.6330994,0
1.5943,16.7400000000001,585.775,0,11.609450775,0
1.594475,1.26,624.25,449.223445275,12.248445275,0
1.594825,2.52,624.25,449.2254261,12.2504261,0
1.59535,3.78,624.25,449.228727475,12.253727475,0
1.59605,5.04,624.25,449.2333494,12.2583494,0
1.596925,6.3,624.25,449.239291875,12.264291875,0
1.597975,7.56,624.25,449.2465549,12.2715549,0
1.5992,8.82,624.25,449.255138475,12.280138475,0
1.6006,10.08,624.25,449.2650426,12.2900426,0
1.602175,11.34,624.25,449.276267275,12.301267275,0
1.603925,12.6,624.25,449.2888125,12.3138125,0
1.60585,13.86,624.25,449.302678275,12.327678275,0
1.60795,15.12,624.25,449.3178646,12.3428646,0
1.610225,16.38,624.25,449.334371475,12.359371475,0
1.612675,17.64,624.25,449.3521989,12.3771989,0
1.6153,18.9,624.25,449.371346875,12.396346875,0
1.6181,20.16,624.25,449.3918154,12.4168154,0
1.621075,21.42,624.25,449.413604475,12.438604475,0
1.624225,22.68,624.25,449.4367141,12.4617141,0
1.62755,23.94,624.25,449.461144275,12.486144275,0
1.63105,25.2,624.25,449.486895,12.511895,0
1.634725,26.46,624.25,449.513966275,12.538966275,0
1.638575,27.72,624.25,449.5423581,12.5673581,0
1.6426,28.98,624.25,449.572070475,12.597070475,0
1.6468,30.24,624.25,449.6031034,12.6281034,0
1.651175,31.5,624.25,449.635456875,12.660456875,0
1.655725,32.76,624.25,449.6691309,12.6941309,0
1.66045,34.02,624.25,449.704125475,12.729125475,0
1.66535,35.28,624.25,449.7404406,12.7654406,0
1.670425,36.54,624.25,449.778076275,12.803076275,0
1.675675,37.8,624.25,449.8170325,12.8420325,0
1.6811,39.06,624.25,449.857309275,12.882309275,0
1.6867,40.32,624.25,449.8989066,12.9239066,0
1.692475,41.58,624.25,449.941824475,12.966824475,0
1.698425,42.84,624.25,449.9860629,13.0110629,0
1.70455,44.1,624.25,450.031621875,13.056621875,0
1.71085,45.36,624.25,450.0785014,13.1035014,0
1.717325,46.62,624.25,450.126701475,13.151701475,0
1.723975,47.88,624.25,450.1762221,13.2012221,0
1.7308,49.14,624.25,450.227063275,13.252063275,0
1.7378,50.4,624.25,450.279225,13.304225,0
1.744975,51.66,624.25,450.332707275,13.357707275,0
1.752325,52.92,624.25,450.3875101,13.4125101,0
1.75985,54.18,624.25,450.443633475,13.468633475,0
1.76755,55.44,624.25,450.5010774,13.5260774,0
1.775425,56.7,624.25,450.559841875,13.584841875,0
1.783475,57.96,624.25,450.6199269,13.6449269,0
1.7917,59.22,624.25,450.681332475,13.706332475,0
1.8001,60.48,624.25,450.7440586,13.7690586,0
1.808675,61.74,624.25,450.808105275,13.833105275,0
1.817425,63,624.25,450.8734725,13.8984725,0
1.82635,64.26,624.25,450.940160275,13.965160275,0
1.83545,65.52,624.25,451.0081686,14.0331686,0
1.844725,66.78,624.25,451.077497475,14.102497475,0
1.854175,68.04,624.25,451.1481469,14.1731469,0
1.8638,69.3,624.25,451.220116875,14.245116875,0
1.8736,70.56,624.25,451.2934074,14.3184074,0
1.883575,71.82,624.25,451.368018475,14.393018475,0
1.893725,73.08,624.25,451.4439501,14.4689501,0
1.90405,74.34,624.25,451.521202275,14.546202275,0
1.91455,75.6,624.25,451.599775,14.624775,0
1.925225,76.86,624.25,451.679668275,14.704668275,0
1.936075,78.12,624.25,451.7608821,14.7858821,0
1.9471,79.3800000000001,624.25,451.843416475,14.868416475,0
1.9583,80.6400000000001,624.25,451.9272714,14.9522714,0
1.969675,81.9000000000001,624.25,452.012446875,15.037446875,0
1.981225,83.1600000000001,624.25,452.0989429,15.1239429,0
1.99295,84.4200000000001,624.25,452.186759475,15.211759475,0
2.00485,85.6800000000001,624.25,452.2758966,15.3008966,0
2.016925,86.9400000000001,624.25,452.366354275,15.391354275,0
2.029175,88.2000000000001,624.25,452.4581325,15.4831325,0
2.0416,89.4600000000001,624.25,452.551231275,15.576231275,0
2.0542,90.7200000000001,624.25,452.6456506,15.6706506,0
2.0667,90,624.25,15.616535,15.616535,0
2.0792,90,624.25,15.616535,15.616535,0
2.0917,90,624.25,15.616535,15.616535,0
2.1042,90,624.25,15.616535,15.616535,0
2.1167,90,624.25,15.616535,15.616535,0
2.1292,90,624.25,15.616535,15.616535,0
2.1417,90,624.25,15.616535,15.616535,0
2.1542,90,624.25,15.616535,15.616535,0
2.1667,90,624.25,15.616535,15.616535,0
2.1792,90,624.25,15.616535,15.616535,0
2.1917,90,624.25,15.616535,15.616535,0
2.2042,90,624.25,15.616535,15.616535,0
2.2167,90,624.25,15.616535,15.616535,0
2.2292,90,624.25,15.616535,15.616535,0
2.2417,90,624.25,15.616535,15.616535,0
2.2542,90,624.25,15.616535,15.616535,0
2.2667,90,624.25,15.616535,15.616535,0
